隆平高科:关于长期服务计划之第一期员工持股计划第一个锁定期届满的提示性公告,06-14 08:29,"/news,000998,1321034775.html"
隆平高科:关于董事减持股份进展的公告,06-06 06:07,"/news,000998,1317885188.html"
隆平高科:2022年度股东大会决议公告,05-19 08:15,"/news,000998,1311289006.html"
隆平高科:公司章程(2023年5月),05-19 08:15,"/news,000998,1311288996.html"
隆平高科:湖南启元律师事务所关于袁隆平农业高科技股份有限公司2022年度股东大会的法律意见书,05-19 08:15,"/news,000998,1311288994.html"
隆平高科:关于股东减持股份达到1%的公告,05-12 07:17,"/news,000998,1308660704.html"
隆平高科:关于2022年度股东大会增加临时提案暨股东大会补充通知的公告,05-10 08:07,"/news,000998,1307689429.html"
隆平高科:关于修订公司章程的公告,05-10 08:07,"/news,000998,1307689421.html"
隆平高科:000998隆平高科业绩说明会、路演活动信息20230505,05-05 07:23,"/news,000998,1305907138.html"
隆平高科:年度股东大会通知,04-28 08:59,"/news,000998,1304611753.html"
隆平高科:独立董事2022年度述职报告(陈超),04-28 08:59,"/news,000998,1304611746.html"
隆平高科:2023年一季度报告,04-28 08:59,"/news,000998,1304611745.html"
隆平高科:年度关联方资金占用专项审计报告,04-28 08:59,"/news,000998,1304611743.html"
隆平高科:独立董事对担保等事项的独立意见,04-28 08:59,"/news,000998,1304611741.html"
隆平高科:中信财务有限公司2022年度风险持续评估报告,04-28 08:59,"/news,000998,1304611725.html"
隆平高科:2022年度监事会工作报告,04-28 08:59,"/news,000998,1304611713.html"
隆平高科:关于2022年度利润分配预案的公告,04-28 08:59,"/news,000998,1304611703.html"
隆平高科:董事会决议公告,04-28 08:59,"/news,000998,1304611699.html"
隆平高科:关于袁隆平农业高科技股份有限公司涉及财务公司关联交易的存款、贷款等金融业务的专项说明,04-28 08:59,"/news,000998,1304611689.html"
隆平高科:独立董事2022年度述职报告(高义生),04-28 08:59,"/news,000998,1304611688.html"
隆平高科:独立董事关于第八届董事会第二十二次会议相关事项的事前认可意见,04-28 08:59,"/news,000998,1304611682.html"
隆平高科:独立董事2022年度述职报告(颜色),04-28 08:59,"/news,000998,1304611658.html"
隆平高科:2022年年度报告,04-28 08:59,"/news,000998,1304611652.html"
隆平高科:独立董事2022年度述职报告(李皎予),04-28 08:59,"/news,000998,1304611641.html"
隆平高科:关于收购福建科力种业有限公司51%股权的进展暨完成工商变更登记的公告,04-28 08:59,"/news,000998,1304611629.html"
隆平高科:2022年年度报告摘要,04-28 08:59,"/news,000998,1304611621.html"
隆平高科:关于拟续聘公司2023年度审计机构的公告,04-28 08:59,"/news,000998,1304611620.html"
隆平高科:内部控制自我评价报告,04-28 08:59,"/news,000998,1304611613.html"
隆平高科:独立董事2022年度述职报告(唐红，已离职),04-28 08:59,"/news,000998,1304611599.html"
隆平高科:内部控制审计报告,04-28 08:59,"/news,000998,1304611592.html"
隆平高科:监事会决议公告,04-28 08:59,"/news,000998,1304611590.html"
隆平高科:关于营业收入扣除情况的专项核查意见,04-28 08:59,"/news,000998,1304611588.html"
隆平高科:关于公司计提资产减值准备的公告,04-28 08:59,"/news,000998,1304611589.html"
隆平高科:关于会计政策变更的公告,04-28 08:59,"/news,000998,1304611585.html"
隆平高科:关于与中信银行股份有限公司等关联方开展存贷款等业务的公告,04-28 08:59,"/news,000998,1304611572.html"
隆平高科:独立董事2022年度述职报告(庞守林，已离职),04-28 08:59,"/news,000998,1304611556.html"
隆平高科:2022年年度审计报告,04-28 08:59,"/news,000998,1304611550.html"
隆平高科:独立董事2022年度述职报告(戴晓凤),04-28 08:59,"/news,000998,1304611544.html"
隆平高科:关于举办2022年度业绩说明会的公告,04-20 08:05,"/news,000998,1300818343.html"
隆平高科:长期服务计划之第一期员工持股计划第二次持有人会议决议公告,04-18 06:13,"/news,000998,1299655017.html"
隆平高科:关于持股5%以上股东参与转融通证券出借业务的进展公告,04-07 06:59,"/news,000998,1295328413.html"
隆平高科:关于持股5%以上股东参与转融通证券出借业务的公告,03-24 06:06,"/news,000998,1290073320.html"
隆平高科:2023年第一次(临时)股东大会决议公告,03-23 07:42,"/news,000998,1289587470.html"
隆平高科:关于选举董事长暨变更法定代表人的公告,03-23 07:42,"/news,000998,1289587469.html"
隆平高科:第八届董事会第二十一次(临时)会议决议公告,03-23 07:42,"/news,000998,1289587468.html"
隆平高科:独立董事关于第八届董事会第二十次一(临时)会议相关事项的独立意见,03-23 07:42,"/news,000998,1289587464.html"
隆平高科:湖南启元律师事务所关于袁隆平农业高科技股份有限公司2023年第一次(临时)股东大会的法律意见书,03-23 07:39,"/news,000998,1289586731.html"
隆平高科:第八届董事会第二十次(临时)会议决议公告,03-07 08:56,"/news,000998,1283757497.html"
隆平高科:关于开展外汇衍生品套期保值交易业务的公告,03-07 08:56,"/news,000998,1283757496.html"
隆平高科:关于会计估计变更的公告,03-07 08:56,"/news,000998,1283757489.html"
隆平高科:独立董事关于第八届董事会第二十次(临时)会议相关事项的独立意见,03-07 08:56,"/news,000998,1283757487.html"
隆平高科:天健会计师事务所关于袁隆平农业高科技股份有限公司会计估计变更事项的专项审核报告,03-07 08:56,"/news,000998,1283757483.html"
隆平高科:关于召开2023年第一次(临时)股东大会的通知,03-07 08:56,"/news,000998,1283757481.html"
隆平高科:关于开展外汇衍生品交易可行性分析报告,03-07 08:56,"/news,000998,1283757480.html"
隆平高科:关于董事长辞职及补选董事的公告,03-07 08:56,"/news,000998,1283757478.html"
隆平高科:第八届监事会第十三次(临时)会议决议公告,03-07 08:56,"/news,000998,1283757474.html"
隆平高科:2023年3月2日投资者关系活动记录表,03-04 12:19,"/news,000998,1282775211.html"
隆平高科:关于收购福建科力种业有限公司51%股权的公告,02-27 07:34,"/news,000998,1281058695.html"
隆平高科:关于董事减持股份预披露公告,02-09 06:22,"/news,000998,1275796877.html"
隆平高科:关于与北大荒垦丰种业股份有限公司签订《战略合作框架协议》的自愿性公告,02-02 04:06,"/news,000998,1273614086.html"
隆平高科:2022年年度业绩预告,01-30 07:01,"/news,000998,1272472201.html"
隆平高科:关于公司董事减持股份完成的公告,01-19 07:30,"/news,000998,1271569751.html"
隆平高科:关于合作单位玉米、大豆产品获得农业转基因生物安全证书批准的自愿性信息披露公告,01-15 04:16,"/news,000998,1270272896.html"
隆平高科:关于公司董事减持股份进展公告,12-16 05:41,"/news,000998,1260837956.html"
隆平高科:关于持股5%以上股东参与转融通证券出借业务的进展公告,12-14 06:07,"/news,000998,1259732500.html"
隆平高科:关于水稻、玉米新品种通过国家审定的自愿性信息披露公告,12-04 04:19,"/news,000998,1254658462.html"
隆平高科:关于转让控股子公司股权的公告,11-16 08:32,"/news,000998,1247579118.html"
隆平高科:湖南启元律师事务所关于袁隆平农业高科技股份有限公司2022年第三次(临时)股东大会的法律意见书,11-15 06:58,"/news,000998,1247081258.html"
隆平高科:2022年第三次(临时)股东大会决议公告,11-15 06:58,"/news,000998,1247081251.html"
隆平高科:2021-2022业务年度经营情况报告,11-15 06:58,"/news,000998,1247081244.html"
隆平高科:关于参股公司重大事项的自愿性信息披露公告,10-27 08:23,"/news,000998,1239954775.html"
隆平高科:关于公司计提资产减值准备的公告,10-27 07:38,"/news,000998,1239937116.html"
隆平高科:关于变更非职工代表监事的公告,10-27 07:38,"/news,000998,1239937106.html"
隆平高科:董事会决议公告,10-27 07:38,"/news,000998,1239937102.html"
隆平高科:独立董事关于第八届董事会第十九次(临时)会议相关事项的独立意见,10-27 07:38,"/news,000998,1239937084.html"
隆平高科:监事会决议公告,10-27 07:38,"/news,000998,1239937076.html"
隆平高科:关于以闲置自有资金购买理财产品的公告,10-27 07:38,"/news,000998,1239937072.html"
隆平高科:2022年三季度报告,10-27 07:38,"/news,000998,1239937044.html"
隆平高科:关于召开2022年第三次(临时)股东大会的通知,10-27 07:38,"/news,000998,1239937038.html"
隆平高科:关于获得政府补助的公告,10-09 04:50,"/news,000998,1233331244.html"
